product_name,product_price,num_reviews,rating
MacBook Pro موديل 2023 من Apple (مقاس 14 إنش، شريحة Apple M3 بوحدة معالجة مركزية ثمانية النوى ووحدة معالجة رسومات غرافيك مع 10 نوى، ذاكرة موحدة 16GB‏، 1TB) - فضي؛ العربية/الإنجليزية، ماك بوك برو,"‏9,191.41 ريالريال‎9,191.‎41",تقييمات 7,5.0 من 5 نجوم
ماك بوك برو موديل 2023 من ابل (مقاس 16 إنش، شريحة ابل M3 برو بوحدة معالجة مركزية مع 12 نواة ووحدة معالجة رسومات غرافيك مع 18 نواة، ذاكرة موحدة 18GB‏، 512GB) - أسود فلكي؛ العربية/الإنجليزية,"‏10,259.00 ريالريال‎10,259.‎00",تقييمات 11,5.0 من 5 نجوم
ماك بوك برو موديل 2023 من ابل (مقاس 14 إنش، شريحة ابل M3 برو بوحدة معالجة مركزية مع 11 نواة ووحدة معالجة رسومات غرافيك مع 14 نواة، ذاكرة موحدة 18GB‏، 512GB) - أسود فلكي؛ الإنجليزية,"‏8,843.57 ريالريال‎8,843.‎57",تقييمات 23,4.1 من 5 نجوم
ماك بوك برو موديل 2023 من ابل (مقاس 14 إنش، شريحة ابل M3 بوحدة معالجة مركزية ثمانية النوى ووحدة معالجة رسومات غرافيك مع 10 نوى، ذاكرة موحدة 8GB‏، 1TB) - فضي؛ العربية/الإنجليزية,"7,969",7,5.0 من 5 نجوم
MacBook Pro من Apple (مقاس 16 إنش، شريحة M1 مع وحدة معالجة مركزية 10 نوى ووحدة رسومات غرافيك نواة، ذاكرة RAM سعة 16GB، قرص SSD 512GB) - رمادي فلكي; عربي/إنكليزي,"5,965",93,4.6 من 5 نجوم
ابل لابتوب ماك بوك اير 2022 مع شريحة M2: شاشة ليكويد ريتينا 13.6 انش، ذاكرة رام 8GB، تخزين SSD 256GB، كاميرا فيس تايم HD 1080p، يعمل مع ايفون وايباد، ميدنايت؛ عربي/انجليزي,"3,499",474,4.8 من 5 نجوم
MacBook Air موديل 2024 من Apple (مقاس 13 إنش، شريحة M3 بوحدة معالجة مركزية ثمانية النوى ووحدة رسومات غرافيك النوى، ذاكرة موحدة 8GB‏، 256GB) - سماء الليل؛ العربية/الإنجليزية، Mac OS,"4,299",25,4.7 من 5 نجوم
MacBook Air موديل 2024 من Apple (مقاس 15 إنش، شريحة Apple M3 بوحدة معالجة مركزية ثمانية النوى ووحدة معالجة رسومات غرافيك مع 10 نوى، ذاكرة موحدة 8GB‏، 256GB) - سماء الليل؛ العربية/الإنجليزية، Mac OS,"5,099",10,4.4 من 5 نجوم
MacBook Pro من Apple (مقاس 14 إنش، شريحة M1 مع وحدة معالجة مركزية 8 نوى ووحدة رسومات غرافيك نواة، ذاكرة RAM سعة 16GB، قرص SSD 512GB) - فضي; انكليزي,"‏5,355.35 ريالريال‎5,355.‎35",158,4.6 من 5 نجوم
MacBook Pro من Apple (مقاس 16 إنش، شريحة M1 مع وحدة معالجة مركزية 10 نوى ووحدة رسومات غرافيك نواة، ذاكرة RAM سعة 16GB، قرص SSD 512GB) - رمادي فلكي; عربي/إنكليزي,"‏5,965.08 ريالريال‎5,965.‎08",93,4.6 من 5 نجوم
لابتوب ماك بوك برو من ابل موديل 2023 بشريحة M2 Pro : شاشة ريتنا ليكويد XDR مقاس 16.2 إنش، ذاكرة RAM 16 GB، قرص SSD 512 GB، لون رمادي فلكي، انجليزي,"‏8,741.09 ريالريال‎8,741.‎09",43,4.8 من 5 نجوم
موسيسو حافظة حماية صلبة بلاستيكية صلبة من البلاستيك مع غطاء كيبورد وكاميرا ويب وواقي شاشة، متوافقة مع ماك بوك برو 14 انش اصدار 2023 2022 2021 M2 A2779 A2442 M1 برو/ماكس تشيب تاتش اي دي,‏116.99 ريالريال‎116.‎99,538,4.3 من 5 نجوم
ابل ماك بوك برو (13 انش، شريحة ام 1 مع وحدة معالجة مركزية ثمانية النوى، رسومات جرافيكية ذاكرة رام 8 جيجا، وسيط تخزين ذو حا...,"‏4,166.56 ريالريال‎4,166.‎56‏",تقييمات 128,4.1 من 5 نجوم
اي ماك موديل 2023 من ابل (مقاس 24 إنش، شريحة ابل M3 بوحدة معالجة مركزية ثمانية النوى ووحدة معالجة رسومات غرافيك مع 10 نوى،...,"‏6,888.99 ريالريال‎6,888.‎99‏",تقييمات 10,4.8 من 5 نجوم
لابتوب ابل ماك بوك برو (16 انش، شريط لمس، معالج انتل كور اي 7 سداسي النوى 2.6 جيجاهرتز، ذاكرة رام 16 جيجا، 512 جيجا) - فض...,"‏7,644.34 ريالريال‎7,644.‎34‏",تقييمات 20,3.4 من 5 نجوم
حامل لابتوب عمودي تيلت سناب من تيونيت لماك بوك، اتصال تلقائي ثاندربولت 4 USB-C، اتصال سلس بقاعدة الشحن او الشاشة، 40Gbps، ...,‏357.09 ريالريال‎357.‎09‏,تقييمات 11,4.4 من 5 نجوم
ليسين كابل شاحن ماج سيف 140 واط، لحاسوب محمول,‏237.16 ريالريال‎237.‎16‏,تقييمات 161,4.0 من 5 نجوم
الإعلان المدعوم - ابل ماك بوك برو (13 انش، شريحة ام 1 مع وحدة معالجة مركزية ثمانية النوى، رسومات جرافيكية ذاكرة رام 8 جيج...,"‏4,166.56 ريالريال‎4,166.‎56‏",تقييمات 128,4.1 من 5 نجوم
الإعلان المدعوم - ماك بوك برو موديل 2023 من ابل (مقاس 14 إنش، شريحة ابل M3 برو بوحدة معالجة مركزية مع 11 نواة ووحدة معالجة...,"‏9,309.02 ريالريال‎9,309.‎02‏",تقييمات 23,4.1 من 5 نجوم
الإعلان المدعوم - لابتوب ماك بوك اير 2020 من ابل: شريحة ابل M1 وشاشة ريتينا 13 انش، ذاكرة RAM سعة 8GB، تخزين SSD سعة 256G...,"‏2,799.00 ريالريال‎2,799.‎00‏",تقييمات 966,4.6 من 5 نجوم
الإعلان المدعوم - ماك بوك برو موديل 2023 من ابل (مقاس 14 إنش، شريحة ابل M3 بوحدة معالجة مركزية ثمانية النوى ووحدة معالجة ر...,"‏7,856.71 ريالريال‎7,856.‎71‏",تقييمات 7,5.0 من 5 نجوم
الإعلان المدعوم - MacBook Pro من Apple (مقاس 16 إنش، شريحة M1 مع وحدة معالجة مركزية 10 نوى ووحدة رسومات غرافيك نواة، ذاكرة...,"‏5,965.08 ريالريال‎5,965.‎08‏ كان: ‏7,326.57 ريالريال‎7,326.57‎‏",تقييمات 93,4.6 من 5 نجوم
